Name,unique_id,Year of Work,Auction House,Session,Meeting,Sale of,Description,Product URL,Image URL,Size,Category,Period,Estimate RMB,Sold For RMB,China,T,China*T,Estimate,Size_c,weights,subclass,Stratum
Qing Kangxi Colorful dragon and phoenix pattern bowl (pair),6,Qing Kangxi,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140009,https://image.artron.net/wd/auction//34/art/285/9c2609da3687027f803b1688dc9717bd.jpg,10,Bowl,Qing,291500,444935,0,0,0,291500.0,1,0.859770114942528,1,B1
" Qing Yongzheng Doucai """"Yunfu"""" tattoo small bowl (pair)",9,Qing Yongzheng,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140011,https://image.artron.net/wd/auction//34/art/285/456e4c92dacf3f5efa2f330617ae5c45.jpg,10,Bowl,Qing,424000,444935,0,0,0,424000.0,1,0.859770114942528,1,B1
Ming Yongle white-glazed dark flowers chasing pearl dragon pattern high foot bowl,18,Ming Yongle,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140060,https://image.artron.net/wd/auction//34/art/285/f8ce1c134b9e18d33665f68cc7b5ce10.jpg,14,Bowl,Ming,132500,127200,0,0,0,132500.0,2,0.0234482758620689,2,B2
Qing Yongzheng carmine glaze straight mouth bowl,25,Qing Yongzheng,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140077,https://image.artron.net/wd/auction//34/art/285/cdb499b9be4d7905bf2020deb7d1fb17.jpg,9,Bowl,Qing,291500,286465,0,0,0,291500.0,1,0.859770114942528,1,B1
" Qing Jiaqing inner blue and white flower butterfly outer carmine brocade open light type pastel """"Bogu"""" pattern pair bowl",33,Qing Jiaqing,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140100,https://image.artron.net/wd/auction//34/art/285/86190cb05e49d7acbd250ae96fc4a305.jpg,15,Bowl,Qing,477000,493695,0,0,0,477000.0,2,1.67372175980975,3,B3
Qing daoguang light coral red ground multicolored peony flower pattern bowl,35,Qing Daoguang,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140092,https://image.artron.net/wd/auction//34/art/285/7e04431b31b1a4ff5c302a13e256f1ea.jpg,13,Bowl,Qing,185500,188945,0,0,0,185500.0,1,0.859770114942528,1,B1
" Qianlong of the Qing Dynasty pastel """"Yutang Fugui"""" tattoo bowl",36,Qianlong of the Qing Dynasty,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140103,https://image.artron.net/wd/auction//34/art/285/ad69d06a0e1921adb5950fb03ff13d16.jpg,10,Bowl,Qing,212000,225515,0,0,0,212000.0,1,0.859770114942528,1,B1
Qing Yongzheng carmine pastel peony floral pattern bowl,42,Qing Yongzheng,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140093,https://image.artron.net/wd/auction//34/art/285/6f35f184879a8b2c60138130f868af37.jpg,13,Bowl,Qing,742000,737495,0,0,0,742000.0,1,0.859770114942528,1,B1
Qing Kangxi Coral red ground multicolored peony floral pattern imperial bowl,43,Qing Kangxi,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140090,https://image.artron.net/wd/auction//34/art/285/0f7fa69a7af610bd6db0fd3e83b3f31e.jpg,11,Bowl,Qing,583000,615595,0,0,0,583000.0,1,0.859770114942528,1,B1
Qing Yongzheng pastel inner fulu shou three-star outer five blessing holding shou tu lu bowl,46,Qing Yongzheng,Sotheby's,2001 Autumn Auction - Chinese porcelain and handicrafts,Autumn Auction 2001,29/10/2001,,https://auction.artron.net/paimai-art16140109,https://image.artron.net/wd/auction//34/art/285/34b8d04ea9b86b3e67169cfb65416484.jpg,12,Bowl,Qing,185500,396175,0,0,0,185500.0,1,0.859770114942528,1,B1
